start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768700.3,	0.00219202041626,	0.00492596626282,	0.00874280929565,	0.00203418731689,	1546768700.32
1546768700.33,	0.00206398963928,	0.00296902656555,	0.00999212265015,	0.00230693817139,	1546768700.34
1546768700.35,	0.0029468536377,	0.00318098068237,	0.00848412513733,	0.00224995613098,	1546768700.37
1546768700.38,	0.00203013420105,	0.00197005271912,	0.00829291343689,	0.00304102897644,	1546768700.39
1546768700.4,	0.0026957988739,	0.00336599349976,	0.00666117668152,	0.00265097618103,	1546768700.42
1546768700.43,	0.00193190574646,	0.00209808349609,	0.00939297676086,	0.00308012962341,	1546768700.44
1546768700.45,	0.00376296043396,	0.00391483306885,	0.00666904449463,	0.0026171207428,	1546768700.47
1546768700.48,	0.0036940574646,	0.00348687171936,	0.0068461894989,	0.00392484664917,	1546768700.5
1546768700.51,	0.00215697288513,	0.00198602676392,	0.00552606582642,	0.00547909736633,	1546768700.52
1546768700.53,	0.00198197364807,	0.00219202041626,	0.00894999504089,	0.0024619102478,	1546768700.55
1546768700.55,	0.00320601463318,	0.00209999084473,	0.00563311576843,	0.00312495231628,	1546768700.57
1546768700.58,	0.00187397003174,	0.00211501121521,	0.00745487213135,	0.00473308563232,	1546768700.59
1546768700.6,	0.00294184684753,	0.00557518005371,	0.00530600547791,	0.00377082824707,	1546768700.62
1546768700.63,	0.00214314460754,	0.00201797485352,	0.00828886032104,	0.00421094894409,	1546768700.64
1546768700.65,	0.00282788276672,	0.00312519073486,	0.00582385063171,	0.00349712371826,	1546768700.67
1546768700.68,	0.00212097167969,	0.0128128528595,	0.00635719299316,	0.00325083732605,	1546768700.71
1546768700.71,	0.00194215774536,	0.00419306755066,	0.00799989700317,	0.00217390060425,	1546768700.73
1546768700.74,	0.00264811515808,	0.00205302238464,	0.00602293014526,	0.00309801101685,	1546768700.75
1546768700.76,	0.00289011001587,	0.0020809173584,	0.00749897956848,	0.00393199920654,	1546768700.78
1546768700.79,	0.0032000541687,	0.00200080871582,	0.00548720359802,	0.00394487380981,	1546768700.8
1546768700.81,	0.00192594528198,	0.00449800491333,	0.00971913337708,	0.0025269985199,	1546768700.83
1546768700.84,	0.00211000442505,	0.00257897377014,	0.0100028514862,	0.00220417976379,	1546768700.86
1546768700.86,	0.00218987464905,	0.00573110580444,	0.00851106643677,	0.00254988670349,	1546768700.88
1546768700.89,	0.00195813179016,	0.00265502929688,	0.00697779655457,	0.00559902191162,	1546768700.91
1546768700.92,	0.00193381309509,	0.00200605392456,	0.0102410316467,	0.00258708000183,	1546768700.94
1546768700.95,	0.00215291976929,	0.00954794883728,	0.00619101524353,	0.0054349899292,	1546768700.97
1546768700.98,	0.00408792495728,	0.00324702262878,	0.00760698318481,	0.00319004058838,	1546768701.0
1546768701.01,	0.00283694267273,	0.00480484962463,	0.00670003890991,	0.00296306610107,	1546768701.03
1546768701.04,	0.00228095054626,	0.00504302978516,	0.00761294364929,	0.00396513938904,	1546768701.06
1546768701.07,	0.00339198112488,	0.00244307518005,	0.00789093971252,	0.00290203094482,	1546768701.09
1546768701.09,	0.00197100639343,	0.00198101997375,	0.00921106338501,	0.00369000434875,	1546768701.11
1546768701.12,	0.00237989425659,	0.00196504592896,	0.00712013244629,	0.00290894508362,	1546768701.14
1546768701.14,	0.00387978553772,	0.00378513336182,	0.00861692428589,	0.00202798843384,	1546768701.16
1546768701.18,	0.00204801559448,	0.00223088264465,	0.00893712043762,	0.00206995010376,	1546768701.19
1546768701.2,	0.00253701210022,	0.00345301628113,	0.00832891464233,	0.00392317771912,	1546768701.22
1546768701.23,	0.00247716903687,	0.0027859210968,	0.00926089286804,	0.00412797927856,	1546768701.25
1546768701.25,	0.00297498703003,	0.00211405754089,	0.00813102722168,	0.00228691101074,	1546768701.28
1546768701.28,	0.00398182868958,	0.00333118438721,	0.00706100463867,	0.00299692153931,	1546768701.3
1546768701.31,	0.00190091133118,	0.00202512741089,	0.0118930339813,	0.00217294692993,	1546768701.33
1546768701.33,	0.00230884552002,	0.00500011444092,	0.00491094589233,	0.00513100624084,	1546768701.35
1546768701.36,	0.00205707550049,	0.00688505172729,	0.00832986831665,	0.00206613540649,	1546768701.38
1546768701.39,	0.00243592262268,	0.00195217132568,	0.0052478313446,	0.0041971206665,	1546768701.41
1546768701.41,	0.00247406959534,	0.0046980381012,	0.00739288330078,	0.00224709510803,	1546768701.43
1546768701.44,	0.00187015533447,	0.00203990936279,	0.00833988189697,	0.00489616394043,	1546768701.46
1546768701.46,	0.00232696533203,	0.00451612472534,	0.00645709037781,	0.00343179702759,	1546768701.48
1546768701.49,	0.00205087661743,	0.00200295448303,	0.00521802902222,	0.00394701957703,	1546768701.51
1546768701.51,	0.00220108032227,	0.00408005714417,	0.0105829238892,	0.00204586982727,	1546768701.53
1546768701.54,	0.00268602371216,	0.00205779075623,	0.00664019584656,	0.00270986557007,	1546768701.55
1546768701.56,	0.00188112258911,	0.00206995010376,	0.00732207298279,	0.00375890731812,	1546768701.58
1546768701.58,	0.00217795372009,	0.00280618667603,	0.00810694694519,	0.00218296051025,	1546768701.6
1546768701.61,	0.00250816345215,	0.00398302078247,	0.00678396224976,	0.00416302680969,	1546768701.63
1546768701.64,	0.00325298309326,	0.00206184387207,	0.00638508796692,	0.00332903862,	1546768701.66
1546768701.66,	0.00229811668396,	0.00244307518005,	0.00954389572144,	0.00317311286926,	1546768701.68
1546768701.69,	0.00185489654541,	0.00201201438904,	0.00791501998901,	0.00453495979309,	1546768701.71
1546768701.71,	0.00268697738647,	0.00257396697998,	0.0091278553009,	0.00198912620544,	1546768701.73
1546768701.74,	0.00189709663391,	0.00227189064026,	0.00694894790649,	0.00378608703613,	1546768701.76
1546768701.77,	0.00189590454102,	0.00586414337158,	0.00658488273621,	0.00337314605713,	1546768701.79
1546768701.79,	0.00230002403259,	0.00210380554199,	0.00707221031189,	0.0043728351593,	1546768701.81
1546768701.82,	0.00188899040222,	0.00285601615906,	0.00976085662842,	0.00237011909485,	1546768701.84
1546768701.85,	0.001953125,	0.00612783432007,	0.00824904441833,	0.00514912605286,	1546768701.87
1546768701.88,	0.00203704833984,	0.0022599697113,	0.00986218452454,	0.00269293785095,	1546768701.9
1546768701.91,	0.00265097618103,	0.00346493721008,	0.00757598876953,	0.00209808349609,	1546768701.93
1546768701.94,	0.00224089622498,	0.00291919708252,	0.0082528591156,	0.00253200531006,	1546768701.96
1546768701.97,	0.00193285942078,	0.00341415405273,	0.0103929042816,	0.00223612785339,	1546768701.99
1546768701.99,	0.0028018951416,	0.00245809555054,	0.00722098350525,	0.00383687019348,	1546768702.01
1546768702.02,	0.0022029876709,	0.0072820186615,	0.00723481178284,	0.00271606445312,	1546768702.04
1546768702.05,	0.0033700466156,	0.00240707397461,	0.00898694992065,	0.00200009346008,	1546768702.07
1546768702.08,	0.0025110244751,	0.00363302230835,	0.00803303718567,	0.00354504585266,	1546768702.1
